date,state,daily
2021-05-15,Malaysia,44
2021-05-16,Malaysia,73
2021-05-17,Malaysia,226
2021-05-18,Malaysia,275
2021-05-19,Malaysia,278
2021-05-20,Malaysia,318
2021-05-21,Malaysia,290
2021-05-22,Malaysia,91
2021-05-23,Malaysia,136
2021-05-24,Malaysia,301
2021-05-25,Malaysia,320
2021-05-26,Malaysia,94
2021-05-27,Malaysia,309
2021-05-28,Malaysia,251
2021-05-29,Malaysia,51
2021-05-30,Malaysia,114
2021-05-31,Malaysia,215
2021-06-01,Malaysia,171
2021-06-02,Malaysia,286
2021-06-03,Malaysia,335
2021-06-04,Malaysia,255
2021-06-05,Malaysia,87
2021-06-06,Malaysia,98
2021-06-07,Malaysia,41
2021-06-08,Malaysia,298
2021-06-09,Malaysia,468
2021-06-10,Malaysia,361
2021-06-11,Malaysia,296
2021-06-12,Malaysia,99
2021-06-13,Malaysia,162
2021-06-14,Malaysia,313
2021-06-15,Malaysia,335
2021-06-16,Malaysia,488
2021-06-17,Malaysia,321
2021-06-18,Malaysia,350
2021-06-19,Malaysia,91
2021-06-20,Malaysia,129
2021-06-21,Malaysia,326
2021-06-22,Malaysia,395
2021-06-23,Malaysia,407
2021-06-24,Malaysia,428
2021-06-25,Malaysia,249
2021-06-26,Malaysia,90
2021-06-27,Malaysia,159
2021-06-28,Malaysia,323
2021-06-29,Malaysia,394
2021-06-30,Malaysia,479
2021-07-01,Malaysia,481
2021-07-02,Malaysia,305
2021-07-03,Malaysia,104
2021-07-04,Malaysia,146
2021-07-05,Malaysia,304
2021-07-06,Malaysia,390
2021-07-07,Malaysia,425
2021-07-08,Malaysia,460
2021-07-09,Malaysia,307
2021-07-10,Malaysia,94
2021-07-11,Malaysia,174
2021-07-12,Malaysia,352
2021-07-13,Malaysia,409
2021-07-14,Malaysia,427
2021-07-15,Malaysia,371
2021-07-16,Malaysia,282
2021-07-17,Malaysia,88
2021-07-18,Malaysia,134
2021-07-19,Malaysia,222
2021-07-20,Malaysia,70
2021-07-21,Malaysia,249
2021-07-22,Malaysia,195
2021-07-23,Malaysia,199
2021-07-24,Malaysia,93
2021-07-25,Malaysia,142
2021-07-26,Malaysia,268
2021-07-27,Malaysia,294
2021-07-28,Malaysia,384
2021-07-29,Malaysia,288
2021-07-30,Malaysia,230
2021-07-31,Malaysia,75
2021-08-01,Malaysia,160
2021-08-02,Malaysia,294
2021-08-03,Malaysia,267
2021-08-04,Malaysia,297
2021-08-05,Malaysia,234
2021-08-06,Malaysia,232
2021-08-07,Malaysia,90
2021-08-08,Malaysia,143
2021-08-09,Malaysia,241
2021-08-10,Malaysia,56
2021-08-11,Malaysia,266
2021-08-12,Malaysia,250
2021-08-13,Malaysia,245
2021-08-14,Malaysia,58
2021-08-15,Malaysia,127
2021-08-16,Malaysia,211
2021-08-17,Malaysia,262
2021-08-18,Malaysia,264
2021-08-19,Malaysia,197
2021-08-20,Malaysia,243
2021-08-21,Malaysia,71
2021-08-22,Malaysia,136
2021-08-23,Malaysia,245
2021-08-24,Malaysia,182
2021-08-25,Malaysia,251
2021-08-26,Malaysia,196
2021-08-27,Malaysia,220
2021-08-28,Malaysia,58
2021-08-29,Malaysia,98
2021-08-30,Malaysia,199
2021-08-31,Malaysia,35
2021-09-01,Malaysia,168
2021-09-02,Malaysia,189
2021-09-03,Malaysia,221
2021-09-04,Malaysia,54
2021-09-05,Malaysia,104
